ATB ID,solvent,value,error_estimate,formula,inchi
883,water,-9.88,0.55,C4H8O,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
883,hexane,-12.91,1.17,C4H8O,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
884,water,-10.72,1.14,C5H10O,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
884,hexane,-15.26,1.14,C5H10O,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
885,water,-7.38,0.67,C5H10O,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3"
885,hexane,-15.84,1.32,C5H10O,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3"
886,water,-7.8,1.48,C5H10O,"InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3"
887,water,-8.91,1.48,C6H12O,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3"
887,hexane,-18.89,0.83,C6H12O,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3"
889,water,-9.59,0.69,C7H14O,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
889,hexane,-22.02,1.35,C7H14O,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
890,water,-10.22,1.15,C7H14O,"InChI=1S/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3"
890,hexane,-21.58,0.87,C7H14O,"InChI=1S/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3"
891,water,-6.72,1.35,C7H14O,"InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3"
892,water,-9.71,1.12,C8H16O,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3"
892,hexane,-25.22,1.36,C8H16O,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3"
918,water,-8.56,1.28,C9H18O,"InChI=1S/C9H18O/c1-3-4-5-6-7-8-9(2)10/h3-8H2,1-2H3"
919,water,-8.68,1.42,C9H18O,"InChI=1S/C9H18O/c1-3-5-7-9(10)8-6-4-2/h3-8H2,1-2H3"
919,hexane,-26.87,0.92,C9H18O,"InChI=1S/C9H18O/c1-3-5-7-9(10)8-6-4-2/h3-8H2,1-2H3"
920,water,-9.11,1.47,C11H22O,"InChI=1S/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3"
921,water,-20.53,1.34,C10H14O,"InChI=1S/C10H14O/c11-10-8-2-6-1-7(4-8)5-9(10)3-6/h6-9H,1-5H2/t6-,7+,8-,9+"
922,water,-11.45,0.6,C2H4O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3"
922,hexane,-6.97,0.97,C2H4O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3"
931,water,-17.38,0.95,C4H6O,"InChI=1S/C4H6O/c1-2-3-4-5/h2-4H,1H3/b3-2+"
932,water,-14.81,0.76,C6H10O,"InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+"
933,water,-16.02,1.48,C8H14O,"InChI=1S/C8H14O/c1-2-3-4-5-6-7-8-9/h6-8H,2-5H2,1H3/b7-6+"
934,water,-20.49,0.86,C6H8O,"InChI=1S/C6H8O/c1-2-3-4-5-6-7/h2-6H,1H3/b3-2+,5-4+"
935,water,-16.77,0.74,C7H6O,"InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H"
935,hexane,-23.59,1.3,C7H6O,"InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H"
936,water,-27.45,1.22,C4H8O2,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)"
936,hexane,-17.55,1.28,C4H8O2,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)"
939,water,-16.64,0.97,C3H6O2,"InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3"
939,hexane,-17.97,1.1,C3H6O2,"InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3"
942,water,-15.04,1.09,C4H8O2,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
942,hexane,-19.06,1.19,C4H8O2,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
